Year,Round,DT,OverallPick,FrRnd,RoundPick,Team,Signed,Bonus,Name,Position,WAR,GamesBatted,AtBats,HomeRuns,Average,OPS,GamesPitched,Wins,Losses,ERA,WHIP,Saves,Type,DraftedFrom
2020,2,,39,FrRnd,2,Orioles,Y,"$1,906,800 ",Hudson Haskin (minors),OF,,,,,,,,,,,,,4Yr,Tulane University (New Orleans LA)
2020,2,,40,FrRnd,3,Marlins,N,,Daxton Fulton (minors),P,,,,,,,,,,,,,HS,Mustang HS (Mustang OK)
2020,2,,41,FrRnd,4,Royals,Y,"$1,450,000 ",Ben Hernandez (minors),P,,,,,,,,,,,,,HS,De La Salle Insitute (Chicago IL)
2020,2,,42,FrRnd,5,Blue Jays,Y,"$1,797,500 ",CJ Van Eyk (minors),P,,,,,,,,,,,,,4Yr,Florida State University (Tallahassee FL)
2020,2,,43,FrRnd,6,Mariners,Y,"$1,729,800 ",Zach DeLoach (minors),OF,,,,,,,,,,,,,4Yr,Texas A&M University (College Station TX)
2020,2,,44,FrRnd,7,Pirates,N,,Jared Jones (minors),P,,,,,,,,,,,,,HS,La Mirada HS (La Mirada CA)
2020,2,,45,FrRnd,8,Padres,Y,"$1,200,004 ",Owen Caissie (minors),OF,,,,,,,,,,,,,HS,Notre Dame HS (Burlington ON)
2020,2,,46,FrRnd,9,Rockies,Y,"$1,637,400 ",Chris McMahon (minors),P,,,,,,,,,,,,,4Yr,University of Miami (Coral Gables FL)
2020,2,,47,FrRnd,10,White Sox,Y,"$3,000,000 ",Jared Kelley (minors),P,,,,,,,,,,,,,HS,Refugio HS (Refugio TX)
2020,2,,48,FrRnd,11,Reds,N,,Christian Roa (minors),P,,,,,,,,,,,,,4Yr,Texas A&M University (College Station TX)
2020,2,,49,FrRnd,12,Giants,N,,Casey Schmitt (minors),3B,,,,,,,,,,,,,4Yr,San Diego State University (San Diego CA)
2020,2,,50,FrRnd,13,Rangers,Y,"$1,250,000 ",Evan Carter (minors),OF,,,,,,,,,,,,,HS,Elizabethton HS (Elizabethton TN)
2020,2,,51,FrRnd,14,Cubs,Y,"$1,050,000 ",Burl Carraway (minors),P,,,,,,,,,,,,,4Yr,Dallas Baptist University (Dallas TX)
2020,2,,52,FrRnd,15,Mets,N,,J.T. Ginn (minors),P,,,,,,,,,,,,,4Yr,Mississippi State University (Mississippi State MS)
2020,2,,53,FrRnd,16,Brewers,Y,"$1,150,000 ",Freddy Zamora (minors),SS,,,,,,,,,,,,,4Yr,University of Miami (Coral Gables FL)
2020,2,,54,FrRnd,17,Cardinals,Y,"$2,100,000 ",Masyn Winn (minors),SS,,,,,,,,,,,,,HS,Kingwood HS (Kingwood TX)
2020,2,,55,FrRnd,18,Nationals,Y,"$2,000,000 ",Cole Henry (minors),P,,,,,,,,,,,,,4Yr,Louisiana State University (Baton Rouge LA)
2020,2,,56,FrRnd,19,Indians,Y,"$1,125,000 ",Logan Allen (minors),P,,,,,,,,,,,,,4Yr,Florida International University (Miami FL)
